,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
183,Vitara Spaces - Cottage Lotus,4.69,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
184,Marvel apartments,4.62,"₹2,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
185,Casablanca,4.50,"₹1,085 per night",2 guests,1 bedroom,1 bed,1 private
186,ABRA–The Courtyard Villa #Lotus(Private Room),4.94,"₹5,500 per night",2 guests,1 bedroom,1 bed,1 private
187,Dharmakanni Tropical Hut- for 6-8 with sea view,4.50,"₹2,500 per night",4 guests,1 bedroom,2 beds,2 shared
188,Sea view Apartment Premium A/C room.,4.72,"₹1,600 per night",2 guests,1 bedroom,2 beds,1 private
189,Colonial Room with Garden View,4.83,"₹5,500 per night",2 guests,1 bedroom,0 beds,1.5 shared
190,Maple House AC room in Pondicharry Home stay 3,4.17,"₹1,357 per night",2 guests,1 bedroom,1 bed,1 private
191,Jayanthi Kudil (AC Room),4.90,₹849 per night,2 guests,1 bedroom,1 bed,1 shared
192,"Pondy Breeze, near beach",4.90,"₹2,143 per night",4 guests,2 bedrooms,3 beds,1 bathroom
193,Beach flat next to Quiet/Serenity,4.72,"₹3,400 per night",4 guests,1 bedroom,3 beds,1 bathroom
194,Pondy and its nature,4.43,"₹1,810 per night",2 guests,1 bedroom,1 bed,1 bathroom
195,Auro Metha Garden Rooms,4.94,"₹1,399 per night",11 guests,5 bedrooms,8 beds,5 shared
196,Laporte apartment,4.80,"₹3,000 per night",5 guests,3 bedrooms,3 beds,3 bathrooms
197,"Success homestay, Pondicherry near serenity beach",4.0,"₹1,260 per night",3 guests,2 bedrooms,4 beds,1 bathroom
198,"Francis, Gaia's Garden Guest House in Auroville",4.75,"₹1,625 per night",3 guests,1 bedroom,1 bed,1 private
199,Nila Home Stay (Feel like home),5.0,"₹1,750 per night",3 guests,1 bedroom,3 beds,1 private
200,GRACE - Penthouse with a private terrace,4.53,"₹6,842 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
201,Le pondy Homestay  single Room 1,4.88,"₹1,200 per night",2 guests,1 bedroom,2 beds,1 bathroom
202,Ta Volonté - Luxury & Elegance next to Beach Road,4.91,"₹5,599 per night",7 guests,2 bedrooms,5 beds,2 bathrooms
203,La chambre Elisa,4.27,"₹2,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
204,Puppita in Surcouf,4.46,"₹6,000 per night",7 guests,3 bedrooms,4 beds,2 bathrooms
205,Colonial Room with Garden View,4.83,"₹5,500 per night",2 guests,1 bedroom,0 beds,1.5 shared
206,✪2BHK Premium HomeStay✪Near White Town  5 Min Walk,5.0,"₹5,062 per night",8 guests,2 bedrooms,2 beds,1 bathroom
207,Ravi Homestay 1 Auroville Beach(AC),4.85,₹786 per night,2 guests,Studio ·,beds ·,private bathroom
208,Cozy Bedroom near Auroville (BLUE PEPPER ROOM),4.50,"₹1,486 per night",2 guests,1 bedroom,1 bed,1 private
209,Appartement au coeur de Pondichéry,4.85,"₹2,643 per night",4 guests,3 bedrooms,4 beds,3 bathrooms
210,Residential Homestay,4.65,"₹1,500 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
211,"♥Awesome Villa for groups, 15 min to beach♥",4.87,"₹3,571 per night",15 guests,4 bedrooms,7 beds,4.5 bathrooms
212,Petit Maroc - Boho Chic Apartment near the beach!,4.71,"₹4,950 per night",7 guests,2 bedrooms,2 beds,2 bathrooms
213,Malar apartment,4.0,"₹1,000 per night",5 guests,2 bedrooms,2 beds,2 bathrooms
214,La Paz Homestay - A Home away from Home,4.68,"₹6,500 per night",10 guests,3 bedrooms,3 beds,3 bathrooms
215,Ta Volonté 2ndFlr - Designer Chic next to Beach Rd,4.93,"₹5,599 per night",7 guests,2 bedrooms,5 beds,2 bathrooms
216,"Vera, Gaia's Garden Guest House in Auroville",4.67,"₹1,625 per night",3 guests,1 bedroom,2 beds,1 private
217,Kariappa House-Private Room G (Pool & Garden),4.89,"₹5,175 per night",2 guests,1 bedroom,1 bed,1 private
218,Rajalakshmi Illam,4.83,₹800 per night,2 guests,1 bedroom,1 bed,1.5 bathrooms
219,Robin’s Villa White Town Pondicherry,4.86,"₹4,000 per night",4 guests,2 bedrooms,2 beds,1 bathroom
220,Studio 22,4.38,"₹3,000 per night",4 guests,1 bedroom,2 beds,1.5 bathrooms
221,Ravi Homestay 4 Auroville Beach(AC),4.90,₹786 per night,2 guests,1 bedroom,2 beds,1 shared
222,PEACE 1 - studio apartment in French Town,4.71,"₹3,253 per night",2 guests,1 bedroom,1 bed,1 bathroom
223,"Joeri, Gaia's Garden Guest House in Auroville",4.78,"₹1,625 per night",4 guests,1 bedroom,1 bed,1 private
224,"Maison Raja, Double Bedroom Service Apartments",4.56,"₹1,857 per night",4 guests,2 bedrooms,4 beds,1 bathroom
225,Appartment with rooftop terrace in Kuilapalayam,4.61,"₹1,075 per night",4 guests,1 bedroom,2 beds,1 bathroom
226,Suffren n°26,4.77,"₹15,000 per night",12 guests,4 bedrooms,4 beds,3 bathrooms
227,Private Room|Calm green surrounding|Near Aurovile.,3.86,"₹2,000 per night",3 guests,1 bedroom,0 beds,1 shared
228,Blue Berry(E) -Glutotel homestay near Auroville,5.0,"₹1,286 per night",2 guests,1 bedroom,2 beds,1 private
229,Shanti : A Peaceful Spacious 2BHK in French town,4.77,"₹6,435 per night",6 guests,2 bedrooms,3 beds,2 bathrooms
230,Nila Home Stay (Feel like home),5.0,"₹1,750 per night",3 guests,1 bedroom,3 beds,1 private
231,The Lotus Room- MANTRA Pondicherry,4.71,"₹4,184 per night",2 guests,1 bedroom,2 beds,1 bathroom
232,Petit Maroc - Boho Chic Apartment near the beach!,4.71,"₹4,950 per night",7 guests,2 bedrooms,2 beds,2 bathrooms
233,"Shanti, Gaia's Garden Guest House in Auroville",4.67,"₹1,875 per night",3 guests,1 bedroom,2 beds,1 private
234,Magizh Home stay (14 beds),4.80,"₹7,900 per night",14 guests,6 bedrooms,14 beds,6 bathrooms
235,Villa de Dupleix,5.0,"₹4,070 per night",9 guests,3 bedrooms,3 beds,3.5 bathrooms
