,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
196,Urban Kuteer - Pvt Suite in the heart of South BLR,4.95,"₹1,600 per night",3 guests,1 bedroom,1 bed,1 bathroom
197,1BHK apartment in JP Nagar - 002,4.93,"₹1,799 per night",3 guests,1 bedroom,2 beds,1 bathroom
198,2BHK for 5 near Manyata IT-PrivateKitchen-AC-WIFI,4.44,"₹1,500 per night",5 guests,2 bedrooms,2 beds,2 bathrooms
199,Clean Bright Modern AC Flat @ Prestige Tranquility,4.82,"₹1,800 per night",3 guests,1 bedroom,1 bed,1 bathroom
200,Chirpy Co-Living Space - Private Room - The Farm,5.0,₹750 per night,2 guests,1 bedroom,1 bed,1 private
201,Bangalore Days Hibiscus  Past & Present meet here,5.0,"₹1,800 per night",2 guests,1 bedroom,1 bed,1 private
202,Omatra Alchemy Suites,4.73,"₹1,191 per night",2 guests,1 bedroom,1 private,
203,201 Studio Apartment - Emerald Suites,5.0,"₹1,102 per night",2 guests,Studio ·,bed ·,bathroom
204,Executive Studio -JP Nagar- near Mini Forest Park!,4.75,₹799 per night,2 guests,Studio ·,beds ·,bathroom
205,Spacious 1BHK flat available for stay @ BTM Layout,4.22,"₹1,129 per night",3 guests,1 bedroom,1 bed,1 bathroom
206,PEACE HAVEN - 2BHK @ RT NAGAR,4.92,"₹1,750 per night",3 guests,2 bedrooms,2 beds,2 bathrooms
207,"💞Your Space💕Pvt 2 Bhk
Cpl Friendly💯
202",4.72,"₹1,150 per night",4 guests,2 bedrooms,2 beds,2.5 bathrooms
208,Cozy Haven Studio Suites Near Hoodi/Whitefield,4.96,₹900 per night,3 guests,Studio ·,bed ·,bathroom
209,OLIVE - Superior 1 BHK @ Koramangala,4.86,"₹3,850 per night",3 guests,1 bedroom,1 bed,1 bathroom
210,Superior AC Room near Manyata Tech Park - 20% Off,4.79,"₹1,100 per night",4 guests,1 bedroom,2 beds,1 bathroom
211,"Kadackal Farms - Mallika, Hivehomes, Bangalore",4.41,"₹2,585 per night",3 guests,1 bedroom,1 bed,1 bathroom
212,🍄J K TEMPLE TREE06 1RK FULLY FURNISHED STUDIO ROOM,5.0,₹800 per night,2 guests,1 bedroom,1 bed,1 bathroom
213,Beautiful studio with large balcony near BG road,5.0,₹900 per night,2 guests,Studio ·,bed ·,bathroom
214,Room With a Terrace in HSR Layout,5.0,₹800 per night,2 guests,1 bedroom,1 bed,1 private
