,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
210,G's Homestay. Private Room/kitchen/bath in Anjuna.,5.0,"₹1,200 per night",2 guests,1 bedroom,1 bed,1 shared
211,The Beach Hive -Goa,4.92,"₹1,728 per night",3 guests,1 bedroom,2 beds,1 bathroom
212,ROOFTOP 2 BEDROOM APARTMENT  RIVIERA SAPPHIRE,4.26,"₹2,070 per night",6 guests,2 bedrooms,3 beds,1 bathroom
213,SEA VIEW ROOM 1 With A Private Balcony DONA PAULA,4.38,"₹3,000 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
214,"THE SAFFRON SUITE, 2BHK, Arpora, North Goa",4.84,"₹3,220 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
215,Cozy (Govt Approved) AC Studio Apartment in Panjim,4.73,₹999 per night,2 guests,Studio ·,bed ·,bathroom
216,"S4 - Elegant, bright, pool-view villa, South Goa",4.67,"₹3,000 per night",5 guests,3 bedrooms,3 beds,3 bathrooms
217,SEA VIEW ROOM 2 With A Private Balcony DONA PAULA,4.45,"₹2,500 per night",3 guests,1 bedroom,1 bed,1 private
218,"GOAN VISTAS@SIOLIM NORTH GOA, LUXURY CONDO",4.76,"₹3,300 per night",2 guests,Studio ·,beds ·,bathroom
219,Riviera Foothills Comfy Studio(Baga/Arpora/Vagator,4.57,₹999 per night,4 guests,1 bedroom,2 beds,1.5 bathrooms
220,Woodstone Camelot Home,4.84,"₹2,634 per night",3 guests,1 bedroom,2 beds,1 bathroom
221,1 B/ROOM LUXURY VILLA W PRIVATE POOL,5.0,"₹7,480 per night",2 guests,1 bedroom,2 beds,2 bathrooms
222,"Rustic-Chic Villa with a Courtyard Pool, Surrounded by Palms",4.96,"₹9,999 per night",10 guests,3 bedrooms,3 beds,3 bathrooms
223,* Ally's Holiday home - Your Peaceful Getaway *,4.91,"₹1,499 per night",4 guests,1 bedroom,2 beds,1 bathroom
