,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
135,e-con Systems,3.3,(16 Reviews),Senior Project Engineer - Computer Vision/ Deep Learning,3-4 Yrs,Not disclosed,Chennai,"IT Skills,Python,Machine Learning,Product Management,Pytorch,C++,C,Opencv",https://www.naukri.com/job-listings-senior-project-engineer-computer-vision-deep-learning-e-con-systems-chennai-3-to-4-years-010621905358?src=jobsearchDesk&sid=1626105810012128&xp=16&px=8,"Project Lead,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,"B.Tech/B.E. in Any Specialization, BCA in Computers, B.Sc in Any Specialization",Any Postgraduate,Doctorate Not Required,
136,Think42Labs,4.2,(5 Reviews),Data Engineer,8-13 Yrs,Not disclosed,Chennai,"IT Skills,Java,Python,Machine Learning,Cloud,DevOps,Big Data,Airflow",https://www.naukri.com/job-listings-data-engineer-think42labs-chennai-8-to-13-years-110621903337?src=jobsearchDesk&sid=1626105810012128&xp=17&px=8,"Database Architect/Designer,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"B.Tech/B.E. in Computers, B.Sc in Computers, BCA in Computers",Any Postgraduate,Doctorate Not Required,
137,LatentView Analytics Private Limited,3.8,(30 Reviews),Manager/senior Manager - Analytics,10-18 Yrs, Not Disclosed by Recruiter ,Chennai,"analytics,senior data scientist,data analytics,team management,team handling,project delivery,lead data scientist,analytics manager",https://www.naukri.com/job-listings-manager-senior-manager-analytics-latentview-analytics-private-limited-chennai-10-to-18-years-210521005712?src=jobsearchDesk&sid=1626105810012128&xp=18&px=8,Analytics Manager,,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI,,,,Analytics / KPO / Research
138,Concentrix Daksh Services India Private Limited.,4.1,(9619 Reviews),AI ML Architect,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Object Detection,face recognition,spoofing,Speech Recognition,NLP,Artificial Intelligence,Data Analysis,Redis",https://www.naukri.com/job-listings-ai-ml-architect-concentrix-daksh-services-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-8-to-13-years-170621000300?src=jobsearchDesk&sid=1626105810012128&xp=19&px=8,"Database Architect/Designer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,,,
139,NOTUS SERVICES PRIVATE LIMITED  , , ,"Big Data with Spark/ Python - Architect/ Senior Architect
",10-17 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Big Data,Spark framework,Big Data Analytics,ETL,data modeling,IT Skills,Pyspark,Spark",https://www.naukri.com/job-listings-big-data-with-spark-python-architect-senior-architect-notus-services-private-limited-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-10-to-17-years-090721007942?src=jobsearchDesk&sid=1626105810012128&xp=20&px=8,"Technical Architect,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,,,
140,Expeditors International (India) Pvt. Ltd,4.1,(48 Reviews),Data Analyst (Financial Performance & Analytics),2-5 Yrs,Not disclosed,Chennai(Vadapalani),"INDEX,Hyperion Financial Management,Microsoft Excel,written communication,VBA,VLOOKUPS,Excel,DATE",https://www.naukri.com/job-listings-data-analyst-financial-performance-analytics-expeditors-international-india-pvt-ltd-chennai-2-to-5-years-120721006841?src=jobsearchDesk&sid=16261061864766398&xp=1&px=9,"Data Analyst,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,Any Postgraduate,Any Doctorate,
141,HAWORTH INDIA PRIVATE LIMITED,3.9,(37 Reviews),Configuration Data Analyst,3-5 Yrs,"6,50,000 - 9,00,000 PA.",Chennai,"BOM,Configuration Data Analyst,ECO/ECN/ECM,SAP related activities,SAP MM,Product data Management,Product Engineering,BOM write access",https://www.naukri.com/job-listings-configuration-data-analyst-haworth-india-private-limited-chennai-3-to-5-years-120721002877?src=jobsearchDesk&sid=16261061864766398&xp=2&px=9,"Other,","Architecture / Interior Design,","Other,","Full Time, Permanent",Other,B.Tech/B.E. in Electronics/Telecommunication,Post Graduation Not Required,Doctorate Not Required,
142,CTG INFOTECH LLP, , ,Data Analyst/Information Analyst,7-9 Yrs,"2,50,000 - 7,50,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","ETL,Tools,Data Analytics",https://www.naukri.com/job-listings-data-analyst-information-analyst-ctg-infotech-llp-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-9-years-110621004979?src=jobsearchDesk&sid=16261061864766398&xp=3&px=9,"Business Analyst,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,,,
143,AceNet, , ,Data Analyst,6-8 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","Data analysis,Data management,Analytical,Social media,Banking,Data quality,Investment banking,Project delivery",https://www.naukri.com/job-listings-data-analyst-acenet-chennai-bengaluru-bangalore-6-to-8-years-040221502537?src=jobsearchDesk&sid=16261061864766398&xp=4&px=9,"Business Analyst,","Management Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,Any Postgraduate,,
144,Signals & Systems (India) Pvt Ltd.,4.1,(38 Reviews),Data Analyst Engineer: Energy meter - Walk-In-Interview, ,"1,75,000 - 2,00,000 PA.",Chennai(Kelambakkam +17),"meter data validation,meter data analyst,meter data entry,meter process analyst,meter data processing,meter data verification,meter report analyst",https://www.naukri.com/job-listings-data-analyst-engineer-energy-meter-walk-in-interview-signals-systems-india-pvt-ltd-chennai-1-to-2-years-020721003640?src=jobsearchDesk&sid=16261061864766398&xp=5&px=9,"Data Analyst,","Power,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,"B.Tech/B.E. in Electronics/Telecommunication, Energy, Instrumentation, Electrical",,,
145,Freshdesk,3.6,(42 Reviews),Senior Data Analyst - CSM,3-7 Yrs,Not disclosed,Chennai,"IT Skills,Python,Software Development,Tableau,Power BI,Computer science,Change management,Publishing",https://www.naukri.com/job-listings-senior-data-analyst-csm-freshdesk-chennai-3-to-7-years-280521500760?src=jobsearchDesk&sid=16261061864766398&xp=6&px=9,"Business/EDP Analyst,","IT Services & Consulting,","ITES, BPO, KPO, LPO, Customer Service, Operations,","Full Time, Permanent",Operations,Any Graduate,Post Graduation Not Required,,
146,Xome,4.0,(57 Reviews),Sr.Data Analyst,6-8 Yrs,Not disclosed,Chennai,"Senior Data Analyst,DataWarehouse,SQL",https://www.naukri.com/job-listings-sr-data-analyst-xome-chennai-6-to-8-years-211020500661?src=jobsearchDesk&sid=16261061864766398&xp=7&px=9,"System Analyst,","Real Estate,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Computers,Post Graduation Not Required,,
147,Xome,4.0,(57 Reviews),Senior Data Analyst,2-4 Yrs,Not disclosed,Chennai,"Performance tuning,Diversity and Inclusion,SSRS,power bi,Data Analyst,SSIS,Business intelligence,Information technology",https://www.naukri.com/job-listings-senior-data-analyst-xome-chennai-2-to-4-years-160221500226?src=jobsearchDesk&sid=16261061864766398&xp=8&px=9,"Software Developer,","Real Estate,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
148,Latent view,3.8,(30 Reviews),Analyst / Senior Analyst - Data Modeling,2-5 Yrs,Not disclosed,Chennai,"Analyst,metadata,github,Linux,Data modeling,GCP,Teradata,big data",https://www.naukri.com/job-listings-analyst-senior-analyst-data-modeling-latent-view-chennai-2-to-5-years-210121500279?src=jobsearchDesk&sid=16261061864766398&xp=9&px=9,"Software Developer,","Management Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
