,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
189,TTEC,4.2,(477 Reviews),"TTEC - Senior Analyst, Data Informatics",4-6 Yrs,Not disclosed,Hyderabad,"Data analysis,French,Excel,Business Economics,SAS Programming,Customer experience,Oracle,Information technology",https://www.naukri.com/job-listings-ttec-senior-analyst-data-informatics-ttec-hyderabad-secunderabad-4-to-6-years-091019500143?src=jobsearchDesk&sid=16261465182033629&xp=10&px=11,"System Analyst,","Management Consulting,","IT Software - System Programming,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Computers,M.Tech in Computers,,
190,Launch IT Consulting India Pvt. Ltd ,4.7,(23 Reviews),Senior Data Analyst,5-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"IT Skills,Power BI,VBA,Dax,Advanced Excel,power pivot,SQL",https://www.naukri.com/job-listings-senior-data-analyst-launch-it-consulting-india-pvt-ltd-hyderabad-secunderabad-5-to-10-years-250621001876?src=jobsearchDesk&sid=16261465182033629&xp=11&px=11,"Business Analyst,","Software Product,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,,,
191,TTEC,4.2,(477 Reviews),"TTEC - Senior Analyst, Data Informatics",3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"SAN,Analyst,Data analysis,French,Business Analyst,SMS,bash scripting,SQL",https://www.naukri.com/job-listings-ttec-senior-analyst-data-informatics-ttec-hyderabad-secunderabad-3-to-8-years-220820500725?src=jobsearchDesk&sid=16261465182033629&xp=12&px=11,"System Analyst,","Management Consulting,","IT Software - System Programming,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
192,Invesco (India) Pvt Ltd, , ,"Senior Data Analyst, Data Ops",4-7 Yrs, Not Disclosed by Recruiter ,Hyderabad/Secunderabad,"Data Quality,Data Management,Data Analysis,Data Cleansing,Data Operations,Data Modeling,Data Warehousing,ETL",https://www.naukri.com/job-listings-senior-data-analyst-data-ops-invesco-india-pvt-ltd-hyderabad-secunderabad-4-to-7-years-160621907476?src=jobsearchDesk&sid=16261465182033629&xp=13&px=11,Data Analyst,,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI,,,,Banking
193,DST Worldwide Services India Pvt. Ltd,3.4,(192 Reviews),Sr. Big Data Analyst,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"IT Skills,Big Data,big data analyst",https://www.naukri.com/job-listings-sr-big-data-analyst-dst-worldwide-services-india-pvt-ltd-hyderabad-secunderabad-2-to-5-years-270219500067?src=jobsearchDesk&sid=16261465182033629&xp=14&px=11,"Associate/Senior Associate -(NonTechnical),","IT Services & Consulting,","ITES, BPO, KPO, LPO, Customer Service, Operations,","Full Time, Permanent",Back Office/Web/Transaction Processing,Any Graduate,Post Graduation Not Required,,
194,Pratibha Analytics, , ,Senior Data Analysts,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"Technical product configuration,c++,C,design,MySQL,JavaScript,integration PHP,HTML",https://www.naukri.com/job-listings-senior-data-analysts-pratibha-analytics-hyderabad-secunderabad-3-to-8-years-161017502335?src=jobsearchDesk&sid=16261465182033629&xp=15&px=11,"Project Lead,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Computers,M.Tech in Computers,,
195,System Soft Technologies,4.8,(5 Reviews),Senior Data Analyst/Modeler,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Data analysis,metadata,Web analytics,Data modeling,Coding,Consulting,System integration,Data Analyst",https://www.naukri.com/job-listings-senior-data-analyst-modeler-system-soft-technologies-hyderabad-secunderabad-3-to-6-years-140521500464?src=jobsearchDesk&sid=16261465182033629&xp=16&px=11,"Business Analyst,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,Post Graduation Not Required,,
196,System Soft Technologies,4.8,(5 Reviews),Senior Data Analyst,2-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Direct marketing,Google Analytics,Web analytics,Business analysis,Online marketing,Consulting,SEM,Omniture",https://www.naukri.com/job-listings-senior-data-analyst-system-soft-technologies-hyderabad-secunderabad-2-to-3-years-140521500463?src=jobsearchDesk&sid=16261465182033629&xp=17&px=11,"Business Analyst,","IT Services & Consulting,","IT Software - Other,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,Post Graduation Not Required,,
197,ExecBoardinAsia, , ,Senior Data Analyst,5-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"PLM,SAP,Data modeling,Enterprise applications,Machine learning,Oracle,Data mining,JIRA",https://www.naukri.com/job-listings-senior-data-analyst-execboardinasia-hyderabad-secunderabad-5-to-10-years-100321500708?src=jobsearchDesk&sid=16261465182033629&xp=18&px=11,"Technical Architect,","Recruitment / Staffing,","IT Software - ERP, CRM,","Full Time, Permanent",Programming & Design,B.Tech/B.E. in Any Specialization,Post Graduation Not Required,,
198,Kenexoft Technologies, , ,Senior Data Analyst  Tableau,6-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"Computer science,SQL queries,Data analysis,tableau,Business Analyst,Pharma,Data Analyst,Business intelligence",https://www.naukri.com/job-listings-senior-data-analyst-tableau-kenexoft-technologies-hyderabad-secunderabad-6-to-8-years-090321501182?src=jobsearchDesk&sid=16261465182033629&xp=19&px=11,"Software Developer,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
199,"DST Systems, Inc.",3.4,(192 Reviews),Sr. Big Data Analyst,10-14 Yrs,Not disclosed,Hyderabad/Secunderabad,"Business improvement,Social media,Service excellence,Manager Technology,Infrastructure,big data analyst,Outsourcing,big data",https://www.naukri.com/job-listings-sr-big-data-analyst-dst-systems-inc-hyderabad-secunderabad-10-to-14-years-081018501023?src=jobsearchDesk&sid=16261465182033629&xp=20&px=11,"Software Developer,","Recruitment / Staffing,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
