,Company,Rating,Position,Experience,Salary,Location,Skills,Link
90,ExecBoardinAsia,Nan,Customer Facing Data Scientist,ExecBoardinAsia,Not disclosed,Hyderabad/Secunderabad,SIDEAutomationProduct engineeringdata sciencePresalesAccount managementSales processfield engineering,https://www.naukri.com/job-listings-customer-facing-data-scientist-execboardinasia-hyderabad-secunderabad-5-to-10-years-090121500256?src=jobsearchDesk&sid=16254106363745925&xp=11&px=6
91,Quadratyx,Nan,Principal Data Scientist,Quadratyx,Not disclosed,Hyderabad,Analytical skillsdata scienceMachine learningNatural language processingResearchbig dataMATLABAnalytics,https://www.naukri.com/job-listings-principal-data-scientist-quadratyx-hyderabad-secunderabad-9-to-12-years-030221500105?src=jobsearchDesk&sid=16254106363745925&xp=12&px=6
92,Accenture Solutions Pvt Ltd,4.0,Snowflake Data Warehouse Application Developer,Accenture Solutions Pvt Ltd,Not disclosed,Hyderabad/Secunderabad,IT SkillsData ScienceCloudAWSAzureBusiness processPerformance tuningNoSQL,https://www.naukri.com/job-listings-snowflake-data-warehouse-application-developer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-6-to-8-years-160621909135?src=jobsearchDesk&sid=16254106363745925&xp=13&px=6
93,Accenture Solutions Pvt Ltd,4.0,Microsoft Modern Data Platform Application Developer,Accenture Solutions Pvt Ltd,Not disclosed,Hyderabad/Secunderabad,Business processProcess analysisManager Quality Assurancedata scienceAnalyticalConsultingData analyticsdata mapping,https://www.naukri.com/job-listings-microsoft-modern-data-platform-application-developer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-6-to-8-years-080621909611?src=jobsearchDesk&sid=16254106363745925&xp=14&px=6
94,AG Technologies pvt Ltd,2.3,Data Analyst,AG Technologies pvt Ltd,"2,00,000 - 4,00,000 PA.","Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",communicationAPO2CSAPP2PanalyticalSQLSAP Database,https://www.naukri.com/job-listings-data-analyst-ag-technologies-pvt-ltd-noida-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-190621603270?src=jobsearchDesk&sid=16254106363745925&xp=15&px=6
95,AG Technologies pvt Ltd,2.3,Data Analyst,AG Technologies pvt Ltd,"2,00,000 - 4,00,000 PA.","Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",communicationAPO2CSAPP2PanalyticalSQLSAP Database,https://www.naukri.com/job-listings-data-analyst-ag-technologies-pvt-ltd-noida-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-190621003268?src=jobsearchDesk&sid=16254106363745925&xp=16&px=6
96,tech mahindra ltd,3.6,Senior Data Analyst & Modeller,tech mahindra ltd,"5,00,000 - 10,00,000 PA.",Hyderabad/Secunderabad,Excellent CommunicationData MiningAdvanced ExcelBPOdata analysisBusiness AnalyticsSales SupportMarketing Analysis,https://www.naukri.com/job-listings-senior-data-analyst-modeller-tech-mahindra-ltd-hyderabad-secunderabad-3-to-7-years-080421003496?src=jobsearchDesk&sid=16254106363745925&xp=17&px=6
97,Amazon Development Centre (India) Pvt. Ltd.,4.2,Amazon HYD is Hiring For Quality Specialist,Amazon Development Centre (India) Pvt. Ltd.,"3,25,000 - 4,00,000 PA.",Hyderabad/Secunderabad,OriginData ScienceData PresentationPerformance MetricsExcelWordProcess OptimizationProduct Engineering,https://www.naukri.com/job-listings-amazon-hyd-is-hiring-for-quality-specialist-amazon-development-centre-india-pvt-ltd-hyderabad-secunderabad-0-to-4-years-230621001636?src=jobsearchDesk&sid=16254106363745925&xp=18&px=6
98,MintFin Solutions,Nan,Machine Learning Lead / Data Scientist ML Lead,MintFin Solutions,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru", simulation Data Science forecastingLogistic Regression Linear Optimization Forecasting Random Forests  Decision trees,https://www.naukri.com/job-listings-machine-learning-lead-data-scientist-ml-lead-mintfin-solutions-hyderabad-secunderabad-bangalore-bengaluru-6-to-11-years-100621904301?src=jobsearchDesk&sid=16254106363745925&xp=19&px=6
99,Savantys Solutions,Nan,Data Scientist - R/NLP/Python,Savantys Solutions,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",IT SkillsPythonData ScienceTensorflowRNLPVideo AnalyticsData Scientist,https://www.naukri.com/job-listings-data-scientist-r-nlp-python-savantys-solutions-hyderabad-secunderabad-bangalore-bengaluru-5-to-10-years-180621908150?src=jobsearchDesk&sid=16254106363745925&xp=20&px=6
