,Company,Rating,Position,Experience,Salary,Location,Skills,Link
55,KeepTruckin,Nan,Manager Data Science,KeepTruckin,Not disclosed,Bangalore/Bengaluru,Computer scienceStatistical programmingSANData analysisdata scienceMachine learningTelematicsFreight,https://www.naukri.com/job-listings-manager-data-science-keeptruckin-bangalore-bengaluru-4-to-7-years-090621500118?src=jobsearchDesk&sid=16254085052034419&xp=16&px=4
56,Mindtree Limited,4.0,Technical Lead -- Data Science,Mindtree Limited,Not disclosed,Bangalore/Bengaluru,data scienceSPARK ScalaMLPySparkAzure dataMachine learningAnalysisIT Skills,https://www.naukri.com/job-listings-technical-lead-data-science-mindtree-limited-bangalore-bengaluru-8-to-10-years-040521500207?src=jobsearchDesk&sid=16254085052034419&xp=17&px=4
57,GO-JEK India,4.4,Manager - Data Science,GO-JEK India,Not disclosed,Bengaluru,IT SkillsPythonMachine LearningProject ManagementBPOproject managementData analysisdata science,https://www.naukri.com/job-listings-manager-data-science-go-jek-india-bengaluru-bangalore-8-to-9-years-280121500419?src=jobsearchDesk&sid=16254085052034419&xp=18&px=4
58,BRIDGEi2i Analytics Solutions Private Limited,3.5,SCM - DATA SCIENCE,BRIDGEi2i Analytics Solutions Private Limited,Not disclosed,Bangalore/Bengaluru,ProcurementPMPData analysisSupply chain managementdata scienceSimulationSCMRisk management,https://www.naukri.com/job-listings-scm-data-science-bridgei2i-analytics-solutions-private-limited-bangalore-bengaluru-3-to-6-years-200521500792?src=jobsearchDesk&sid=16254085052034419&xp=19&px=4
59,Signify,4.1,Development Engineer - Data Science,Signify,Not disclosed,Bangalore/Bengaluru,data scienceArtificial IntelligenceDiversity and InclusionMachine learningAgileData collectionData analyticsData mining,https://www.naukri.com/job-listings-development-engineer-data-science-signify-bangalore-bengaluru-7-to-10-years-140521500017?src=jobsearchDesk&sid=16254085052034419&xp=20&px=4
60,Faster Consultancy Services,Nan,Manager - Data Science,Faster Consultancy Services,Not disclosed,Bengaluru,C++data scienceCodingMachine learningData structuresInformation retrievalNatural language processingSystem development,https://www.naukri.com/job-listings-manager-data-science-faster-consultancy-services-bengaluru-bangalore-0-to-5-years-231120500870?src=jobsearchDesk&sid=16254085391249422&xp=1&px=5
61,Perform Group,4.2,Principal Data Scientist/ Manager - Data Science,Perform Group,Not disclosed,Bangalore/Bengaluru,data scienceOpencvConsultingResearchAWSPrincipalPython,https://www.naukri.com/job-listings-principal-data-scientist-manager-data-science-perform-group-bangalore-bengaluru-8-to-12-years-200521500300?src=jobsearchDesk&sid=16254085391249422&xp=2&px=5
62,NeenOpal Intelligent Solutions Pvt. Ltd.,Nan,Data Science Internship - Immediate Joining,NeenOpal Intelligent Solutions Pvt. Ltd.,Not disclosed,Bangalore/Bengaluru,data scienceInternCodingMachine learningData analyticsInternshipPython,https://www.naukri.com/job-listings-data-science-internship-immediate-joining-neenopal-intelligent-solutions-pvt-ltd-bengaluru-bangalore-0-to-1-years-060820500715?src=jobsearchDesk&sid=16254085391249422&xp=3&px=5
63,Accenture Solutions Pvt Ltd,4.0,Dataiku Data Science Studio (DSS) Application Developer,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,R STATISTICS PROGRAMMINGMachine LearningDataiku Data Science StudioPYTHONcommunicationanalyticalAWSSQL,https://www.naukri.com/job-listings-dataiku-data-science-studio-dss-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-170621907481?src=jobsearchDesk&sid=16254085391249422&xp=4&px=5
64,GENPACT India Private Limited,4.0,Machine Learning & Automation Expert - Data Science,GENPACT India Private Limited,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru",Data ScienceMachine Learning,https://www.naukri.com/job-listings-machine-learning-automation-expert-data-science-genpact-india-private-limited-gurgaon-gurugram-bangalore-bengaluru-6-to-11-years-130521002558?src=jobsearchDesk&sid=16254085391249422&xp=5&px=5
65,Musubi Management Private Limited,Nan,Web Development/Data Science Trainee,Musubi Management Private Limited,"3,50,000 - 6,00,000 PA.",Bangalore/Bengaluru(5th block Koramangala),Data ScienceWeb DevelopmentIT SkillsPythonWeb Technologies,https://www.naukri.com/job-listings-web-development-data-science-trainee-musubi-management-private-limited-bangalore-bengaluru-0-to-0-years-110621002643?src=jobsearchDesk&sid=16254085391249422&xp=6&px=5
66,Talpro,Nan,Data Sciences Engineer - Big Data,Talpro,Not disclosed,"Bangalore/Bengaluru, Delhi / NCR",IT SkillsBig Data Data Sciences EngineerData Management,https://www.naukri.com/job-listings-data-sciences-engineer-big-data-talpro-bangalore-bengaluru-delhi-ncr-2-to-5-years-010721903713?src=jobsearchDesk&sid=16254085391249422&xp=7&px=5
67,Acuity Knowledge Partners,3.2,Data Science – ML Engineer,Acuity Knowledge Partners,Not disclosed,Bangalore/Bengaluru,TensorflowNatural Language ProcessingMachine LearningDeep LearningData SciencePytorchNLPNoSQL,https://www.naukri.com/job-listings-data-science-ml-engineer-acuity-knowledge-services-india-private-limited-bangalore-bengaluru-1-to-3-years-160621007819?src=jobsearchDesk&sid=16254085391249422&xp=8&px=5
68,Premier Consultants ,Nan,Analyst/Sr.Analyst-Data Science with AI/ML based Company,Premier Consultants ,"15,00,000 - 20,00,000 PA.","Pune, Bangalore/Bengaluru",Data ScienceNLPBFSIData ScientistCredit RiskMachine Learning ModelCredit BureauMachine Learning,https://www.naukri.com/job-listings-analyst-sr-analyst-data-science-with-ai-ml-based-company-premier-consultants-pune-bangalore-bengaluru-2-to-5-years-160621000652?src=jobsearchDesk&sid=16254085391249422&xp=9&px=5
69,NELSON CONSULTANTS   ,Nan,"Data Science Search Ads Architecture-JAVA ,C ++, Python |8+ Exp
",NELSON CONSULTANTS   ,Not disclosed,Bangalore/Bengaluru,ranking engine-analysisJavaC++anti-cheating architectureBidding StrategiesSearch Advertising AllianceCTR estimationArchitectural Design,https://www.naukri.com/job-listings-data-science-search-ads-architecture-java-c-python-8-exp-nelson-consultants-bangalore-bengaluru-8-to-10-years-300621003507?src=jobsearchDesk&sid=16254085391249422&xp=10&px=5
70,ZS Associates,3.8,Data Science Consultant,ZS Associates,Not disclosed,Bengaluru,IT SkillsJavaPythonTestingData ScienceMachine LearningProject Managementdata science OR data scientist OR machine learning OR NLP OR Natural language processing,https://www.naukri.com/job-listings-data-science-consultant-zs-associates-bengaluru-5-to-5-years-070621900917?src=jobsearchDesk&sid=16254085391249422&xp=11&px=5
71,ZS Associates,3.8,Data Science Associate Consultant,ZS Associates,Not disclosed,Bengaluru,IT SkillsJavaPythonTestingData ScienceMachine LearningProject Managementdata science OR data scientist OR machine learning OR NLP OR Natural language processing,https://www.naukri.com/job-listings-data-science-associate-consultant-zs-associates-bengaluru-3-to-3-years-070621900914?src=jobsearchDesk&sid=16254085391249422&xp=12&px=5
72,ZS Associates India Pvt Ltd,3.8,Data Science Manager,ZS Associates India Pvt Ltd,Not disclosed,"Pune, Bangalore/Bengaluru",PythonBig DataIT SkillsCloudProject ManagementBPOproject managementData Science,https://www.naukri.com/job-listings-data-science-manager-zs-associates-india-pvt-ltd-pune-bangalore-bengaluru-9-to-14-years-010621001414?src=jobsearchDesk&sid=16254085391249422&xp=13&px=5
73,OceanOfWeb,Nan,Python Tech Lead - RDBMS / Data Science,OceanOfWeb,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",IT SkillsPythonData ScienceDevOpsJavascriptRDBMS Python Tech Leadweb applications ,https://www.naukri.com/job-listings-python-tech-lead-rdbms-data-science-oceanofweb-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-110621908103?src=jobsearchDesk&sid=16254085391249422&xp=14&px=5
