,Company,Rating,Position,Experience,Salary,Location,Skills,Link
95,ADF Data Science Private Limited,3.4,Process Data Analyst (Six Sigma),ADF Data Science Private Limited,Not disclosed,Chennai,PublishingNetworkingLinuxCodingProcess improvementJavascriptWorkflowData Analyst,https://www.naukri.com/job-listings-process-data-analyst-six-sigma-adf-data-science-private-limited-chennai-8-to-13-years-280621500372?src=jobsearchDesk&sid=16254838380281016&xp=16&px=6
96,COLLABERA,3.7,Job Opportunity For Data Analyst,COLLABERA,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Javascriptshell scriptingcommunicationCJavaLinuxmachine learningETL,https://www.naukri.com/job-listings-opportunity-for-data-analyst-collabera-technologies-private-limited-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-180621008123?src=jobsearchDesk&sid=16254838380281016&xp=17&px=6
97,Winfort Services Pvt ltd ,Nan,Urgent Opening For Aws Data Engineer / Developer position For an MNC,Winfort Services Pvt ltd ,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Data SciencepythonData EngineeranalyticalSageMaker CodingGlueMachine LearningAWS S3,https://www.naukri.com/job-listings-urgent-opening-for-aws-data-engineer-developer-position-for-an-mnc-winfort-services-pvt-ltd-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-4-to-9-years-240521601908?src=jobsearchDesk&sid=16254838380281016&xp=18&px=6
98,Ingram Micro,3.8,Sr . Data Analyst,Ingram Micro,Not disclosed,Chennai,IT SkillsPythonComputer scienceOperations researchSASData AnalystBusiness intelligenceData mining,https://www.naukri.com/job-listings-sr-data-analyst-ingram-micro-i-pvt-ltd-chennai-6-to-11-years-140121501659?src=jobsearchDesk&sid=16254838380281016&xp=19&px=6
99,RUBOID TECHNOVISION PRIVATE LIMITED,Nan,Agri Commodity Specialist | Client of Ruboid |10 + years |,RUBOID TECHNOVISION PRIVATE LIMITED,Not disclosed,"Kolkata, Chennai, Bangalore/Bengaluru",Data ScienceAgri CommodityData AnalysisIT SkillsMachine Learning,https://www.naukri.com/job-listings-agri-commodity-specialist-client-of-ruboid-10-years-ruboid-technovision-private-limited-kolkata-chennai-bangalore-bengaluru-10-to-20-years-240621604042?src=jobsearchDesk&sid=16254838380281016&xp=20&px=6
100,RUBOID TECHNOVISION PRIVATE LIMITED,Nan,Agri Commodity Specialist | Client of Ruboid |10 + years |,RUBOID TECHNOVISION PRIVATE LIMITED,Not disclosed,"Kolkata, Chennai, Bangalore/Bengaluru",Data ScienceAgri CommodityData AnalysisIT SkillsMachine Learning,https://www.naukri.com/job-listings-agri-commodity-specialist-client-of-ruboid-10-years-ruboid-technovision-private-limited-kolkata-chennai-bangalore-bengaluru-10-to-20-years-240621004041?src=jobsearchDesk&sid=16254838768283969&xp=1&px=7
101,Hexaware Technologies Ltd.,3.4,Scrum Master,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",IT SkillsData ScienceComputer scienceTrainingPDFAgile scrumConflict resolutionTransition management,https://www.naukri.com/job-listings-scrum-master-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-10-to-14-years-300621501637?src=jobsearchDesk&sid=16254838768283969&xp=2&px=7
102,Tata Consultancy Services Ltd.,4.0,Tcs Hiring! Hyper Automation Architect,Tata Consultancy Services Ltd.,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",communicationArtificial IntelligenceMLBusiness Process AnalysisData Science AutomationMachine Learningdata visualizationanalytical,https://www.naukri.com/job-listings-tcs-hiring-hyper-automation-architect-tata-consultancy-services-ltd-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-280621014565?src=jobsearchDesk&sid=16254838768283969&xp=3&px=7
103,Datumlyze Pvt Ltd,Nan,Technical Data Analyst,Datumlyze Pvt Ltd,Not disclosed,Chennai,Pivot TableExcelVLOOKUPWindows Serverunix technical supportFormulasUnix Support EngineerMS Office,https://www.naukri.com/job-listings-technical-data-analyst-datumlyze-pvt-ltd-chennai-0-to-2-years-220621002103?src=jobsearchDesk&sid=16254838768283969&xp=4&px=7
104,Skill On Tap  ,Nan,"Big Data Developer / Lead - Pyspark, Python, Spark",Skill On Tap  ,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",PysparkSCALAPythonIT SkillsJavaCloudBig DataJenkins,https://www.naukri.com/job-listings-big-data-developer-lead-pyspark-python-spark-skill-on-tap-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-070621000574?src=jobsearchDesk&sid=16254838768283969&xp=5&px=7
