,Company,Rating,Position,Experience,Salary,Location,Skills,Link
151,DG7,3.6,DIGITAL DATA ANALYST INTERN,DG7,Not disclosed,"Mumbai, Vasai",Data analysisData managementSocial mediaData collectionCustomer supportSEMMS OfficeData mining,https://www.naukri.com/job-listings-digital-data-analyst-intern-dg7-mumbai-vasai-0-to-1-years-021219500094?src=jobsearchDesk&sid=16254847074386805&xp=12&px=9
152,Morningstar,4.2,Senior Data Research Analyst,Morningstar,Not disclosed,Mumbai (All Areas),Data ResearchMarket DataData QualityExcelResearch AnalysisData ManagementData OperationsEquity Research,https://www.naukri.com/job-listings-senior-data-research-analyst-morningstar-india-p-ltd-mumbai-all-areas-2-to-5-years-070621003554?src=jobsearchDesk&sid=16254847074386805&xp=13&px=9
153,Hexaware Technologies Ltd.,3.4,Scrum Master,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",IT SkillsData ScienceComputer scienceTrainingPDFAgile scrumConflict resolutionTransition management,https://www.naukri.com/job-listings-scrum-master-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-10-to-14-years-300621501637?src=jobsearchDesk&sid=16254847074386805&xp=14&px=9
154,Tata Consultancy Services Ltd.,4.0,Tcs Hiring! Hyper Automation Architect,Tata Consultancy Services Ltd.,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",communicationArtificial IntelligenceMLBusiness Process AnalysisData Science AutomationMachine Learningdata visualizationanalytical,https://www.naukri.com/job-listings-tcs-hiring-hyper-automation-architect-tata-consultancy-services-ltd-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-280621014565?src=jobsearchDesk&sid=16254847074386805&xp=15&px=9
155,Drishti Consultants Pvt. Ltd. ,Nan,Manager - SH Data Analytics (Mumbai),Drishti Consultants Pvt. Ltd. ,"7,00,000 - 17,00,000 PA.",Mumbai (All Areas),Data ScienceData AnalysisData Analytics,https://www.naukri.com/job-listings-manager-sh-data-analytics-mumbai-drishti-consultants-pvt-ltd-mumbai-all-areas-5-to-9-years-180621000837?src=jobsearchDesk&sid=16254847074386805&xp=16&px=9
156,Drishti Consultants Pvt. Ltd. ,Nan,FLO Data Analytics - Mumbai,Drishti Consultants Pvt. Ltd. ,"4,00,000 - 8,00,000 PA.",Mumbai (All Areas),Data ScienceData AnalysisData Analyticsdata analystPython,https://www.naukri.com/job-listings-flo-data-analytics-mumbai-drishti-consultants-pvt-ltd-mumbai-all-areas-2-to-5-years-180621000817?src=jobsearchDesk&sid=16254847074386805&xp=17&px=9
157,Internet Brands,Nan,Associate - Data Analyst,Internet Brands,Not disclosed,Mumbai,Performance tuningAutomationBackendWeb analyticsAnalyticalpower biStored proceduresAutomotive,https://www.naukri.com/job-listings-associate-data-analyst-internet-brands-mumbai-0-to-4-years-250621500095?src=jobsearchDesk&sid=16254847074386805&xp=18&px=9
158,Mind Circus Innovation,Nan,Excel VBA Jobs Pune | VBA data analyst Jobs,Mind Circus Innovation,"90,000 - 1,75,000 PA.","Nagpur, Pune, Mumbai (All Areas)",ExcelSQLWordVBAMISVLOOKUPData AnalysisAdvanced Excel,https://www.naukri.com/job-listings-excel-vba-jobs-pune-vba-data-analyst-jobs-mind-circus-innovation-nagpur-pune-mumbai-all-areas-0-to-1-years-220621005559?src=jobsearchDesk&sid=16254847074386805&xp=19&px=9
159,Huquo Consulting Pvt. Ltd,Nan,Data Scientist - Python/ Power BI/ SQL,Huquo Consulting Pvt. Ltd,Not disclosed,Mumbai,Data ScienceRPower BIData ScientistData VisualizationData MiningDistributed ComputingPython,https://www.naukri.com/job-listings-data-scientist-python-power-bi-sql-huquo-consulting-pvt-ltd-mumbai-1-to-5-years-240521905554?src=jobsearchDesk&sid=16254847074386805&xp=20&px=9
160,Huquo Consulting Pvt. Ltd,Nan,Data Scientist - Python/ Power BI/ SQL,Huquo Consulting Pvt. Ltd,Not disclosed,Mumbai,Data ScienceRPower BIData ScientistData VisualizationData MiningDistributed ComputingPython,https://www.naukri.com/job-listings-data-scientist-python-power-bi-sql-huquo-consulting-pvt-ltd-mumbai-1-to-5-years-240521905554?src=jobsearchDesk&sid=16254847476731053&xp=1&px=10
161,PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED  ,Nan,Data Scientist - Consumer Insights & Analytics,PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED  ,Not disclosed,Mumbai (All Areas),Anomaly DetectionData SciencePredictive ModelingRNatural Language ProcessingStatistical ModelingMachine LearningDeep Learning,https://www.naukri.com/job-listings-data-scientist-consumer-insights-analytics-peoplestrong-technologies-private-limited-mumbai-all-areas-7-to-12-years-190621002250?src=jobsearchDesk&sid=16254847476731053&xp=2&px=10
162,TurboHire Technologies Pvt. Ltd.   ,Nan,Manager - Data Scientist,TurboHire Technologies Pvt. Ltd.   ,Not disclosed,Mumbai,communicationPandasOOPSAzureGCPSQLPythonSeaborn,https://www.naukri.com/job-listings-manager-data-scientist-turbohire-technologies-pvt-ltd-mumbai-5-to-6-years-170621005712?src=jobsearchDesk&sid=16254847476731053&xp=3&px=10
