,Company,Rating,Review Count,Position,Experience,Salary,Location,Skills,Link
283,e-Hireo Global Pvt Ltd, , ,Data Analyst - Python/ R,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Visualization,R,Data Visualization,Data Mining,Algorithm,SQL,Python",https://www.naukri.com/job-listings-data-analyst-python-r-e-hireo-global-pvt-ltd-bangalore-bengaluru-2-to-4-years-250820902830?src=jobsearchDesk&sid=16259968149725575&xp=4&px=16
284,Catalyst, , ,Data Analyst - Quant & Data Mining,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,"quantitative analysis,Data Visualisation,data mining,Data Science,Dashboard Design,Data Visualization,Data Analyst,Data Analytics",https://www.naukri.com/job-listings-data-analyst-quant-data-mining-catalyst-bangalore-bengaluru-2-to-6-years-250320902669?src=jobsearchDesk&sid=16259968149725575&xp=5&px=16
285,IdealCrew Services  , , ,Senior Data Scientist - Big Data/Databricks,5-10 Yrs,"14,00,000 - 24,00,000 PA.","Pune, Bangalore/Bengaluru, Delhi / NCR","NN,Big Data,graph DB,Spark,Hive,AI,Graph analytics,Python",https://www.naukri.com/job-listings-senior-data-scientist-big-data-databricks-idealcrew-services-pune-bangalore-bengaluru-delhi-ncr-5-to-10-years-280621012476?src=jobsearchDesk&sid=16259968149725575&xp=6&px=16
286,Headhunter , , ,Data Engineer (SE/ SSE / Technical Lead ),2-7 Yrs,Not disclosed,"Pune, Bangalore Rural, Chennai, Coimbatore, Delhi / NCR, Mumbai (All Areas)","Airflow,Python,Google Cloud,IT Skills,Data Science,Cloud,AWS,Azure",https://www.naukri.com/job-listings-data-engineer-se-sse-technical-lead-headhunter-pune-bangalore-rural-chennai-coimbatore-delhi-ncr-mumbai-all-areas-2-to-7-years-030521006284?src=jobsearchDesk&sid=16259968149725575&xp=7&px=16
287,Simplilearn,3.1,(150 Reviews),Junior Data Analyst, ,"3,50,000 - 5,00,000 PA.",Bangalore/Bengaluru(Sector 2 HSR Layout)(WFH during Covid),"Excel,VBA,Data Analysis,Data Visualization,Advanced Excel,Data Modeling,Tableau,Python",https://www.naukri.com/job-listings-junior-data-analyst-simplilearn-solutions-private-limited-bangalore-bengaluru-0-to-2-years-090721607152?src=jobsearchDesk&sid=16259968149725575&xp=8&px=16
288,Simplilearn,3.1,(150 Reviews),Junior Data Analyst, ,"3,50,000 - 5,00,000 PA.",Bangalore/Bengaluru(Sector 2 HSR Layout)(WFH during Covid),"Excel,VBA,Data Analysis,Data Visualization,Advanced Excel,Data Modeling,Tableau,Python",https://www.naukri.com/job-listings-junior-data-analyst-simplilearn-solutions-private-limited-bangalore-bengaluru-0-to-2-years-090721007150?src=jobsearchDesk&sid=16259968149725575&xp=9&px=16
289,Flipkart Internet Private Limited,4.2,(3378 Reviews),Consultant - Data Analyst,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Validation,Power Bi,MIS,Data Analysis,SQL Queries,Advanced Excel,Tableau,Dashboards",https://www.naukri.com/job-listings-consultant-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-0-to-2-years-060721901131?src=jobsearchDesk&sid=16259968149725575&xp=10&px=16
290,Gojek Tech, , ,Senior Data Scientist,5-10 Yrs,Not disclosed,Bengaluru,"deep learning,data science,spark,Diversity and Inclusion,Data collection,Manager Technology,Mathematics,Monitoring",https://www.naukri.com/job-listings-senior-data-scientist-gojek-tech-bengaluru-bangalore-5-to-10-years-031219500712?src=jobsearchDesk&sid=16259968149725575&xp=11&px=16
291,Nanobi Data And Analytics Pvt Ltd,4.4,(3 Reviews),Senior Data Scientist,7-9 Yrs,Not disclosed,Bengaluru,"IT Skills,Python,Data Science,Big Data,SAS,Consulting,Presales,model development",https://www.naukri.com/job-listings-senior-data-scientist-nanobi-data-and-analytics-pvt-ltd-bengaluru-bangalore-7-to-9-years-260219503818?src=jobsearchDesk&sid=16259968149725575&xp=12&px=16
292,Nanobi Data And Analytics Pvt Ltd,4.4,(3 Reviews),Senior Data Scientist,7-9 Yrs,Not disclosed,Bengaluru,"IT Skills,Python,Data Science,Big Data,SAS,Consulting,Presales,Stores",https://www.naukri.com/job-listings-senior-data-scientist-nanobi-data-and-analytics-pvt-ltd-bengaluru-bangalore-7-to-9-years-230118500805?src=jobsearchDesk&sid=16259968149725575&xp=13&px=16
293,ExecBoardinAsia, , ,Senior Data Scientist,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"data science,model development,Deployment,Mentor,New product development,Management,Monitoring",https://www.naukri.com/job-listings-senior-data-scientist-execboardinasia-bangalore-bengaluru-5-to-10-years-220421500310?src=jobsearchDesk&sid=16259968149725575&xp=14&px=16
294,Publicis Groupe,3.3,(64 Reviews),Senior Data Scientist,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science,deep learning,Interpersonal skills,GIT,data science,Machine learning,Customer experience,big data",https://www.naukri.com/job-listings-senior-data-scientist-publicis-groupe-bangalore-bengaluru-2-to-5-years-210421500847?src=jobsearchDesk&sid=16259968149725575&xp=15&px=16
295,Gojek Tech, , ,Senior Data Scientist,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Mining,Version control,GIT,data science,Analytical,Shell scripting,Machine learning,data visualization",https://www.naukri.com/job-listings-senior-data-scientist-gojek-tech-bangalore-bengaluru-3-to-7-years-200521500197?src=jobsearchDesk&sid=16259968149725575&xp=16&px=16
296,GO-JEK India,4.5,(6 Reviews),Senior Data Scientist,4-11 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Mining,Version control,GIT,Analytical",https://www.naukri.com/job-listings-senior-data-scientist-go-jek-india-bangalore-bengaluru-4-to-11-years-190521500736?src=jobsearchDesk&sid=16259968149725575&xp=17&px=16
297,Superior Group,4.6,(14 Reviews),Senior/ Lead Data Scientist,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,"advanced analytics,data science,Analytical,SCALA,Lead,Teradata,Predictive analytics,SQL",https://www.naukri.com/job-listings-senior-lead-data-scientist-superior-group-bangalore-bengaluru-6-to-11-years-180621500299?src=jobsearchDesk&sid=16259968149725575&xp=18&px=16
